timestamp,test,metric,value,unit,product_name,official,owner,run_uri,sample_uri,baseline,blocksize,bw_agg,bw_dev,bw_max,bw_mean,bw_min,cloud,data_disk_0_durability,data_disk_0_num_stripes,data_disk_0_replication,data_disk_0_size,data_disk_0_type,direct,filename,fio_job,group_reporting,image,index,iodepth,ioengine,ip_type,machine_type,max,mean,min,num_cpus,num_parallel_copies,num_striped_disks,numjobs,overwrite,p1,p10,p20,p30,p40,p5,p50,p60,p70,p80,p90,p95,p99,p99.5,p99.9,p99.95,p99.99,perfkitbenchmarker_version,randrepeat,receiving_machine_type,receiving_zone,runtime,runtime_in_seconds,rw,samples,scratch_disk_size,scratch_disk_type,sending_machine_type,sending_thread_count,sending_zone,size,stddev,time,vm_1_cloud,vm_1_image,vm_1_machine_type,vm_1_vm_count,vm_1_zone,vm_2_cloud,vm_2_image,vm_2_machine_type,vm_2_vm_count,vm_2_zone,vm_count,zone
1469828959.507238,fio,random_write_rest:read:latency:p1,732,usec,PerfKitBenchmarker,False,root,617afe83-1a598047-9a2f-4e8a-b257-06b36ea6ccb4,2e33193e-0e5a-4d0e-b160-0b81b5148b4f,,4k,,,,,,Rackspace,ephemeral,1,RAID10,500,boot,1,fio_test_file,random_write_rest,,09de0a66-3156-48b4-90a5-1cf25a905207,,1,libaio,,general1-1,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,boot,,,,1G,,,,,,,,,,,,,1,IAD
1469828959.507238,fio,random_write_rest:read:latency:p5,828,usec,PerfKitBenchmarker,False,root,617afe83-1a598047-9a2f-4e8a-b257-06b36ea6ccb4,2f6c1b14-0b8c-42a8-8503-9525467a5f0e,,4k,,,,,,Rackspace,ephemeral,1,RAID10,500,boot,1,fio_test_file,random_write_rest,,09de0a66-3156-48b4-90a5-1cf25a905207,,1,libaio,,general1-1,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,boot,,,,1G,,,,,,,,,,,,,1,IAD
1469828959.507238,fio,random_write_rest:read:latency:p10,876,usec,PerfKitBenchmarker,False,root,617afe83-1a598047-9a2f-4e8a-b257-06b36ea6ccb4,667d6885-f6a0-4dbf-9c4a-65eb775a096b,,4k,,,,,,Rackspace,ephemeral,1,RAID10,500,boot,1,fio_test_file,random_write_rest,,09de0a66-3156-48b4-90a5-1cf25a905207,,1,libaio,,general1-1,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,boot,,,,1G,,,,,,,,,,,,,1,IAD
1469828959.507238,fio,random_write_rest:read:latency:p20,940,usec,PerfKitBenchmarker,False,root,617afe83-1a598047-9a2f-4e8a-b257-06b36ea6ccb4,47cc00f3-5f43-4281-82c9-3d7f765fe5e3,,4k,,,,,,Rackspace,ephemeral,1,RAID10,500,boot,1,fio_test_file,random_write_rest,,09de0a66-3156-48b4-90a5-1cf25a905207,,1,libaio,,general1-1,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,boot,,,,1G,,,,,,,,,,,,,1,IAD
1469828959.507238,fio,random_write_rest:read:latency:p30,988,usec,PerfKitBenchmarker,False,root,617afe83-1a598047-9a2f-4e8a-b257-06b36ea6ccb4,fcd93b79-db31-4c15-bb8f-cf5cb385bfd4,,4k,,,,,,Rackspace,ephemeral,1,RAID10,500,boot,1,fio_test_file,random_write_rest,,09de0a66-3156-48b4-90a5-1cf25a905207,,1,libaio,,general1-1,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,boot,,,,1G,,,,,,,,,,,,,1,IAD
1469828959.507238,fio,random_write_rest:read:latency:p40,1032,usec,PerfKitBenchmarker,False,root,617afe83-1a598047-9a2f-4e8a-b257-06b36ea6ccb4,4cae7c1c-8a62-43cf-aa1d-4789a4be9fbd,,4k,,,,,,Rackspace,ephemeral,1,RAID10,500,boot,1,fio_test_file,random_write_rest,,09de0a66-3156-48b4-90a5-1cf25a905207,,1,libaio,,general1-1,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,boot,,,,1G,,,,,,,,,,,,,1,IAD
1469828959.507238,fio,random_write_rest:read:latency:p50,1080,usec,PerfKitBenchmarker,False,root,617afe83-1a598047-9a2f-4e8a-b257-06b36ea6ccb4,aae78a65-c30d-4531-a0b8-a4aaa900dc6c,,4k,,,,,,Rackspace,ephemeral,1,RAID10,500,boot,1,fio_test_file,random_write_rest,,09de0a66-3156-48b4-90a5-1cf25a905207,,1,libaio,,general1-1,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,boot,,,,1G,,,,,,,,,,,,,1,IAD
1469828959.507238,fio,random_write_rest:read:latency:p60,1128,usec,PerfKitBenchmarker,False,root,617afe83-1a598047-9a2f-4e8a-b257-06b36ea6ccb4,e6d99ab3-74f3-4de0-bb3f-4df483074e5e,,4k,,,,,,Rackspace,ephemeral,1,RAID10,500,boot,1,fio_test_file,random_write_rest,,09de0a66-3156-48b4-90a5-1cf25a905207,,1,libaio,,general1-1,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,boot,,,,1G,,,,,,,,,,,,,1,IAD
1469828959.507238,fio,random_write_rest:read:latency:p70,1192,usec,PerfKitBenchmarker,False,root,617afe83-1a598047-9a2f-4e8a-b257-06b36ea6ccb4,f70dc887-c19f-4dc0-8b2d-85e68f4dc439,,4k,,,,,,Rackspace,ephemeral,1,RAID10,500,boot,1,fio_test_file,random_write_rest,,09de0a66-3156-48b4-90a5-1cf25a905207,,1,libaio,,general1-1,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,boot,,,,1G,,,,,,,,,,,,,1,IAD
1469828959.507238,fio,random_write_rest:read:latency:p80,1288,usec,PerfKitBenchmarker,False,root,617afe83-1a598047-9a2f-4e8a-b257-06b36ea6ccb4,f53a5829-a63f-4b2a-804c-b962b1b73b4e,,4k,,,,,,Rackspace,ephemeral,1,RAID10,500,boot,1,fio_test_file,random_write_rest,,09de0a66-3156-48b4-90a5-1cf25a905207,,1,libaio,,general1-1,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,boot,,,,1G,,,,,,,,,,,,,1,IAD
1469828959.507238,fio,random_write_rest:read:latency:p90,1432,usec,PerfKitBenchmarker,False,root,617afe83-1a598047-9a2f-4e8a-b257-06b36ea6ccb4,aff1993a-ac2b-4c2f-9210-3da061ef3fd8,,4k,,,,,,Rackspace,ephemeral,1,RAID10,500,boot,1,fio_test_file,random_write_rest,,09de0a66-3156-48b4-90a5-1cf25a905207,,1,libaio,,general1-1,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,boot,,,,1G,,,,,,,,,,,,,1,IAD
1469828959.507238,fio,random_write_rest:read:latency:p95,1720,usec,PerfKitBenchmarker,False,root,617afe83-1a598047-9a2f-4e8a-b257-06b36ea6ccb4,f9e3ae87-af29-4426-b78c-976a28beadac,,4k,,,,,,Rackspace,ephemeral,1,RAID10,500,boot,1,fio_test_file,random_write_rest,,09de0a66-3156-48b4-90a5-1cf25a905207,,1,libaio,,general1-1,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,boot,,,,1G,,,,,,,,,,,,,1,IAD
1469828959.507238,fio,random_write_rest:read:latency:p99,2544,usec,PerfKitBenchmarker,False,root,617afe83-1a598047-9a2f-4e8a-b257-06b36ea6ccb4,74b16b75-1d2f-4f30-9c65-aebb5189e18a,,4k,,,,,,Rackspace,ephemeral,1,RAID10,500,boot,1,fio_test_file,random_write_rest,,09de0a66-3156-48b4-90a5-1cf25a905207,,1,libaio,,general1-1,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,boot,,,,1G,,,,,,,,,,,,,1,IAD
1469828959.507238,fio,random_write_rest:read:latency:p99.5,2896,usec,PerfKitBenchmarker,False,root,617afe83-1a598047-9a2f-4e8a-b257-06b36ea6ccb4,4b79c510-4926-4ffe-8ce2-5de5ccb57475,,4k,,,,,,Rackspace,ephemeral,1,RAID10,500,boot,1,fio_test_file,random_write_rest,,09de0a66-3156-48b4-90a5-1cf25a905207,,1,libaio,,general1-1,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,boot,,,,1G,,,,,,,,,,,,,1,IAD
1469828959.507238,fio,random_write_rest:read:latency:p99.9,3952,usec,PerfKitBenchmarker,False,root,617afe83-1a598047-9a2f-4e8a-b257-06b36ea6ccb4,d84fbb28-c844-4c56-a50f-9237cd571055,,4k,,,,,,Rackspace,ephemeral,1,RAID10,500,boot,1,fio_test_file,random_write_rest,,09de0a66-3156-48b4-90a5-1cf25a905207,,1,libaio,,general1-1,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,boot,,,,1G,,,,,,,,,,,,,1,IAD
1469828959.507238,fio,random_write_rest:read:latency:p99.95,4640,usec,PerfKitBenchmarker,False,root,617afe83-1a598047-9a2f-4e8a-b257-06b36ea6ccb4,195e8143-94ee-4cd0-9e4a-48bdc2d4f3a9,,4k,,,,,,Rackspace,ephemeral,1,RAID10,500,boot,1,fio_test_file,random_write_rest,,09de0a66-3156-48b4-90a5-1cf25a905207,,1,libaio,,general1-1,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,boot,,,,1G,,,,,,,,,,,,,1,IAD
1469828959.507238,fio,random_write_rest:read:latency:p99.99,7584,usec,PerfKitBenchmarker,False,root,617afe83-1a598047-9a2f-4e8a-b257-06b36ea6ccb4,42f2a471-ed3a-473b-b9d7-859b7e9dcf6c,,4k,,,,,,Rackspace,ephemeral,1,RAID10,500,boot,1,fio_test_file,random_write_rest,,09de0a66-3156-48b4-90a5-1cf25a905207,,1,libaio,,general1-1,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,boot,,,,1G,,,,,,,,,,,,,1,IAD
1469828959.507238,fio,random_write_rest:read:iops,13676.89,,PerfKitBenchmarker,False,root,617afe83-1a598047-9a2f-4e8a-b257-06b36ea6ccb4,397ffedb-88b4-4272-a98c-9f0242dfed4f,,4k,,,,,,Rackspace,ephemeral,1,RAID10,500,boot,1,fio_test_file,random_write_rest,,09de0a66-3156-48b4-90a5-1cf25a905207,,1,libaio,,general1-1,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,boot,,,,1G,,,,,,,,,,,,,1,IAD
