timestamp,test,metric,value,unit,product_name,official,owner,run_uri,sample_uri,baseline,blocksize,bw_agg,bw_dev,bw_max,bw_mean,bw_min,cloud,data_disk_0_legacy_disk_type,data_disk_0_media,data_disk_0_num_stripes,data_disk_0_replication,data_disk_0_size,data_disk_0_type,direct,filename,fio_job,group_reporting,image,index,iodepth,ioengine,ip_type,machine_type,max,mean,min,num_cpus,num_parallel_copies,num_striped_disks,numjobs,overwrite,p1,p10,p20,p30,p40,p5,p50,p60,p70,p80,p90,p95,p99,p99.5,p99.9,p99.95,p99.99,perfkitbenchmarker_version,randrepeat,receiving_machine_type,receiving_zone,runtime,runtime_in_seconds,rw,samples,scratch_disk_size,scratch_disk_type,sending_machine_type,sending_thread_count,sending_zone,size,stddev,time,vm_1_cloud,vm_1_image,vm_1_machine_type,vm_1_vm_count,vm_1_zone,vm_2_cloud,vm_2_image,vm_2_machine_type,vm_2_vm_count,vm_2_zone,vm_count,zone
1469814524.686705,fio,random_write_rest:read:latency:p1,3504,usec,PerfKitBenchmarker,False,root,b07719ea-2f106a41-3a64-4cac-ad99-fea628959470,271d331a-514c-4ce6-832f-9e5d89b58fdd,,4k,,,,,,AWS,standard,hdd,1,zone,500,standard,1,fio_test_file,random_write_rest,,ami-cbdd50dc,,1,libaio,,t2.micro,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,standard,,,,1G,,,,,,,,,,,,,1,us-east-1b
1469814524.686705,fio,random_write_rest:read:latency:p5,3952,usec,PerfKitBenchmarker,False,root,b07719ea-2f106a41-3a64-4cac-ad99-fea628959470,9b5e6ffd-0ebc-41e2-a025-a6472f2387f5,,4k,,,,,,AWS,standard,hdd,1,zone,500,standard,1,fio_test_file,random_write_rest,,ami-cbdd50dc,,1,libaio,,t2.micro,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,standard,,,,1G,,,,,,,,,,,,,1,us-east-1b
1469814524.686705,fio,random_write_rest:read:latency:p10,4384,usec,PerfKitBenchmarker,False,root,b07719ea-2f106a41-3a64-4cac-ad99-fea628959470,e023aaec-9810-4a87-9b0c-a20a300a2126,,4k,,,,,,AWS,standard,hdd,1,zone,500,standard,1,fio_test_file,random_write_rest,,ami-cbdd50dc,,1,libaio,,t2.micro,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,standard,,,,1G,,,,,,,,,,,,,1,us-east-1b
1469814524.686705,fio,random_write_rest:read:latency:p20,5216,usec,PerfKitBenchmarker,False,root,b07719ea-2f106a41-3a64-4cac-ad99-fea628959470,2961240f-16cb-46cf-8e4d-7d30ef3a2397,,4k,,,,,,AWS,standard,hdd,1,zone,500,standard,1,fio_test_file,random_write_rest,,ami-cbdd50dc,,1,libaio,,t2.micro,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,standard,,,,1G,,,,,,,,,,,,,1,us-east-1b
1469814524.686705,fio,random_write_rest:read:latency:p30,6112,usec,PerfKitBenchmarker,False,root,b07719ea-2f106a41-3a64-4cac-ad99-fea628959470,03f31718-0a17-44ff-841d-5ebd4383f683,,4k,,,,,,AWS,standard,hdd,1,zone,500,standard,1,fio_test_file,random_write_rest,,ami-cbdd50dc,,1,libaio,,t2.micro,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,standard,,,,1G,,,,,,,,,,,,,1,us-east-1b
1469814524.686705,fio,random_write_rest:read:latency:p40,7072,usec,PerfKitBenchmarker,False,root,b07719ea-2f106a41-3a64-4cac-ad99-fea628959470,02531516-20a9-4dee-9dcc-5ccdc19ee2c3,,4k,,,,,,AWS,standard,hdd,1,zone,500,standard,1,fio_test_file,random_write_rest,,ami-cbdd50dc,,1,libaio,,t2.micro,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,standard,,,,1G,,,,,,,,,,,,,1,us-east-1b
1469814524.686705,fio,random_write_rest:read:latency:p50,8160,usec,PerfKitBenchmarker,False,root,b07719ea-2f106a41-3a64-4cac-ad99-fea628959470,6ec43c13-5671-4073-833d-47ae1b480736,,4k,,,,,,AWS,standard,hdd,1,zone,500,standard,1,fio_test_file,random_write_rest,,ami-cbdd50dc,,1,libaio,,t2.micro,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,standard,,,,1G,,,,,,,,,,,,,1,us-east-1b
1469814524.686705,fio,random_write_rest:read:latency:p60,9536,usec,PerfKitBenchmarker,False,root,b07719ea-2f106a41-3a64-4cac-ad99-fea628959470,c3279bc8-2b67-44bc-a0ad-0aa5b1618fa9,,4k,,,,,,AWS,standard,hdd,1,zone,500,standard,1,fio_test_file,random_write_rest,,ami-cbdd50dc,,1,libaio,,t2.micro,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,standard,,,,1G,,,,,,,,,,,,,1,us-east-1b
1469814524.686705,fio,random_write_rest:read:latency:p70,11328,usec,PerfKitBenchmarker,False,root,b07719ea-2f106a41-3a64-4cac-ad99-fea628959470,2cc6cbae-be3c-4f41-a3e2-7b62cd74e7a2,,4k,,,,,,AWS,standard,hdd,1,zone,500,standard,1,fio_test_file,random_write_rest,,ami-cbdd50dc,,1,libaio,,t2.micro,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,standard,,,,1G,,,,,,,,,,,,,1,us-east-1b
1469814524.686705,fio,random_write_rest:read:latency:p80,14272,usec,PerfKitBenchmarker,False,root,b07719ea-2f106a41-3a64-4cac-ad99-fea628959470,9e99c38a-34ca-41f6-ab09-6997aa262310,,4k,,,,,,AWS,standard,hdd,1,zone,500,standard,1,fio_test_file,random_write_rest,,ami-cbdd50dc,,1,libaio,,t2.micro,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,standard,,,,1G,,,,,,,,,,,,,1,us-east-1b
