timestamp,test,metric,value,unit,product_name,official,owner,run_uri,sample_uri,baseline,cloud,data_disk_0_legacy_disk_type,data_disk_0_media,data_disk_0_num_stripes,data_disk_0_replication,data_disk_0_size,data_disk_0_type,image,index,ip_type,machine_type,num_cpus,num_parallel_copies,num_striped_disks,perfkitbenchmarker_version,receiving_machine_type,receiving_zone,runtime_in_seconds,samples,scratch_disk_size,scratch_disk_type,sending_machine_type,sending_thread_count,sending_zone,time,vm_1_cloud,vm_1_image,vm_1_machine_type,vm_1_vm_count,vm_1_zone,vm_2_cloud,vm_2_image,vm_2_machine_type,vm_2_vm_count,vm_2_zone,vm_count,zone
1469839093.769681,unixbench,File Copy 256 bufsize 500 maxblocks,154325.0,KBps,PerfKitBenchmarker,False,root,e299195c-efe4169e-1ae2-4501-b691-324b84d2eb18,05293dc6-2c3e-4662-a4a1-97501aaedc95,,Azure,standard,hdd,1,zone,500,standard-disk,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,,,Small,,1,1,unknown,,,,1,500,standard,,,,30.0s,,,,,,,,,,,1,East US
1469839093.769688,unixbench,File Copy 4096 bufsize 8000 maxblocks,1385758.0,KBps,PerfKitBenchmarker,False,root,e299195c-efe4169e-1ae2-4501-b691-324b84d2eb18,2058505f-6367-4cfd-a9de-a2634aecb619,,Azure,standard,hdd,1,zone,500,standard-disk,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,,,Small,,1,1,unknown,,,,1,500,standard,,,,30.0s,,,,,,,,,,,1,East US
1469839093.769693,unixbench,Pipe Throughput,851954.9,lps,PerfKitBenchmarker,False,root,e299195c-efe4169e-1ae2-4501-b691-324b84d2eb18,38056eac-c419-4eb0-a244-9a8a368991ba,,Azure,standard,hdd,1,zone,500,standard-disk,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,,,Small,,1,1,unknown,,,,1,500,standard,,,,10.0s,,,,,,,,,,,1,East US
1469839093.769699,unixbench,Pipe-based Context Switching,166543.4,lps,PerfKitBenchmarker,False,root,e299195c-efe4169e-1ae2-4501-b691-324b84d2eb18,d2bf6806-c0a4-4cb7-968e-7c3e67f1ce6c,,Azure,standard,hdd,1,zone,500,standard-disk,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,,,Small,,1,1,unknown,,,,1,500,standard,,,,10.0s,,,,,,,,,,,1,East US
1469839093.769704,unixbench,Process Creation,6584.1,lps,PerfKitBenchmarker,False,root,e299195c-efe4169e-1ae2-4501-b691-324b84d2eb18,9e2bb225-e16f-4a45-84e1-240d935009e0,,Azure,standard,hdd,1,zone,500,standard-disk,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,,,Small,,1,1,unknown,,,,1,500,standard,,,,30.0s,,,,,,,,,,,1,East US
1469839093.76971,unixbench,Shell Scripts (1 concurrent),4166.1,lpm,PerfKitBenchmarker,False,root,e299195c-efe4169e-1ae2-4501-b691-324b84d2eb18,5e534c5e-4fe2-46ea-8e5e-1d96de6ea0b3,,Azure,standard,hdd,1,zone,500,standard-disk,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,,,Small,,1,1,unknown,,,,1,500,standard,,,,60.0s,,,,,,,,,,,1,East US
1469839093.769716,unixbench,Shell Scripts (8 concurrent),521.0,lpm,PerfKitBenchmarker,False,root,e299195c-efe4169e-1ae2-4501-b691-324b84d2eb18,1b1f7282-230a-4d42-8a64-85026f7b9029,,Azure,standard,hdd,1,zone,500,standard-disk,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,,,Small,,1,1,unknown,,,,1,500,standard,,,,60.1s,,,,,,,,,,,1,East US
1469839093.769721,unixbench,System Call Overhead,1772948.9,lps,PerfKitBenchmarker,False,root,e299195c-efe4169e-1ae2-4501-b691-324b84d2eb18,fdf72913-15bf-4bab-8e9f-c11f8f8d2886,,Azure,standard,hdd,1,zone,500,standard-disk,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,,,Small,,1,1,unknown,,,,1,500,standard,,,,10.0s,,,,,,,,,,,1,East US
1469839093.771661,unixbench,Dhrystone 2 using register variables:score,13423329.5,,PerfKitBenchmarker,False,root,e299195c-efe4169e-1ae2-4501-b691-324b84d2eb18,fc27a883-32f9-4097-8c2d-eb80cefbffd0,116700.0,Azure,standard,hdd,1,zone,500,standard-disk,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,1150.2,,Small,,1,1,unknown,,,,,500,standard,,,,,,,,,,,,,,,1,East US
1469839093.771672,unixbench,Double-Precision Whetstone:score,1758.4,,PerfKitBenchmarker,False,root,e299195c-efe4169e-1ae2-4501-b691-324b84d2eb18,88de358e-8e52-4c4b-853f-bd7d7be4bd71,55.0,Azure,standard,hdd,1,zone,500,standard-disk,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,319.7,,Small,,1,1,unknown,,,,,500,standard,,,,,,,,,,,,,,,1,East US
